name                  filter                                      config                                                                                       tasks      cores    clockspeed    sim. time (ns)    avg resp time (ns)    peak power / thread (W)    avg power (W)    energy (J)    peak temperature (C)
parsec-streamcluster  2.0GHz+maxFreq+slowDVFS                     parsec-streamcluster-simsmall-1                                                              parsec         2             2         242650600             242650672                   2.19832          11.9801       2.90698                 139.663
parsec-streamcluster  2.0GHz+maxFreq+slowDVFS                     parsec-streamcluster-simsmall-2                                                              parsec         3             2         131132600             131132682                   2.20406          17.739        2.32616                 134.793
parsec-streamcluster  2.0GHz+maxFreq+slowDVFS                     parsec-streamcluster-simsmall-3                                                              parsec         4             2          92741500              92741554                   2.19899          23.3397       2.16456                 133.248
parsec-swaptions      2.0GHz+maxFreq+slowDVFS                     parsec-swaptions-simsmall-1                                                                  parsec         2             2         140414200             140414262                   1.93156          13.2894       1.86601                 169.796
parsec-swaptions      2.0GHz+maxFreq+slowDVFS                     parsec-swaptions-simsmall-2                                                                  parsec         3             2          70897100              70897161                   1.92558          21.0869       1.495                   168.688
parsec-swaptions      2.0GHz+maxFreq+slowDVFS                     parsec-swaptions-simsmall-3                                                                  parsec         4             2          53863200              53863207                   1.90707          26.082        1.40486                 167.338
parsec-x264           2.0GHz+maxFreq+slowDVFS                     parsec-x264-simsmall-1                                                                       parsec         1             2         117671600             117671600                   1.96664          12.18         1.43325                 161.121
parsec-x264           2.0GHz+maxFreq+slowDVFS                     parsec-x264-simsmall-2                                                                       parsec         3             2          68880700              68880771                   1.9544           16.1728       1.11399                 157.73
parsec-x264           2.0GHz+maxFreq+slowDVFS                     parsec-x264-simsmall-3                                                                       parsec         4             2          60175200              60175257                   1.94488          17.6218       1.06039                 156.005
parsec-blackscholes   2.0GHz+ondemand+fastDVFS                    parsec-blackscholes-simsmall-1                                                               parsec         2             2         106493900             106493996                   0.638868          3.89108      0.414376                 74.3319
parsec-blackscholes   2.0GHz+ondemand+fastDVFS                    parsec-blackscholes-simsmall-2                                                               parsec         3             2          61456800              61456803                   0.647927          5.38871      0.331173                 73.9688
parsec-blackscholes   2.0GHz+ondemand+fastDVFS                    parsec-blackscholes-simsmall-3                                                               parsec         4             2          46768800              46768828                   0.642907          6.50377      0.304173                 73.8447
parsec-bodytrack      2.0GHz+ondemand+fastDVFS                    parsec-bodytrack-simsmall-1                                                                  parsec         3             2         377446200             377446255                   1.33615           3.77989      1.42671                  74.6778
parsec-bodytrack      2.0GHz+ondemand+fastDVFS                    parsec-bodytrack-simsmall-2                                                                  parsec         4             2         211540200             211540241                   1.34984           5.30482      1.12218                  73.5932
parsec-blackscholes   2.0GHz+ondemand+slowDVFS                    parsec-blackscholes-simsmall-1                                                               parsec         2             2         106645000             106645041                   0.618787          3.87408      0.413151                 74.4784
parsec-blackscholes   2.0GHz+ondemand+slowDVFS                    parsec-blackscholes-simsmall-2                                                               parsec         3             2          62771700              62771790                   0.622537          5.25481      0.329853                 73.1647
parsec-blackscholes   2.0GHz+ondemand+slowDVFS                    parsec-blackscholes-simsmall-3                                                               parsec         4             2          46781000              46781078                   0.620829          6.46978      0.302663                 73.7178
parsec-bodytrack      2.0GHz+ondemand+slowDVFS                    parsec-bodytrack-simsmall-1                                                                  parsec         3             2         366789100             366789102                   0.761386          3.85176      1.41279                  76.0312
parsec-blackscholes   3.0GHz+asymmetric+asymmetryMaster+slowDVFS  parsec-blackscholes-simsmall-1                                                               parsec         2             3          88736800              88736871                   0.827987          6.17878      0.548285                 90.4748
parsec-blackscholes   3.0GHz+asymmetric+asymmetryMaster+slowDVFS  parsec-blackscholes-simsmall-2                                                               parsec         3             3          59463100              59463125                   0.826233          7.51904      0.447105                 80.3398
parsec-blackscholes   3.0GHz+asymmetric+asymmetryMaster+slowDVFS  parsec-blackscholes-simsmall-3                                                               parsec         4             3          49641600              49641655                   0.835746          8.34662      0.41434                  74.7733
parsec-bodytrack      3.0GHz+asymmetric+asymmetryMaster+slowDVFS  parsec-bodytrack-simsmall-1                                                                  parsec         3             3         246415500             246415510                   1.53892           7.22118      1.77941                 110.043
parsec-bodytrack      3.0GHz+asymmetric+asymmetryMaster+slowDVFS  parsec-bodytrack-simsmall-2                                                                  parsec         4             3         147830700             147830729                   1.53949           9.7578       1.4425                  101.171
